Hora,Precio
1669492800,175.01
1669496400,170.82
1669500000,155.76
1669503600,150.24
1669507200,140.58
1669510800,135.0
1669514400,122.01
1669518000,99.4
1669521600,99.4
1669525200,99.4
1669528800,101.0
1669532400,112.0
1669536000,108.0
1669539600,100.8
1669543200,95.0
1669546800,92.0
1669550400,92.37
1669554000,99.4
1669557600,100.0
1669561200,100.0
1669564800,112.95
1669568400,145.02
1669572000,156.0
1669575600,156.27
1669579200,153.72
1669582800,145.71
1669586400,135.0
1669590000,108.0
1669593600,99.91
1669597200,92.37
1669600800,90.0
1669604400,86.18
1669608000,79.58
1669611600,77.1
1669615200,88.6
1669618800,98.91
1669622400,120.0
1669626000,98.91
1669629600,90.0
1669633200,87.85
1669636800,79.23
1669640400,65.88
1669644000,65.88
1669647600,80.14
1669651200,91.4
1669654800,111.1
1669658400,140.83
1669662000,150.57
1669665600,165.9
1669669200,156.0
1669672800,139.4
1669676400,125.0
1669680000,110.0
1669683600,97.37
1669687200,94.07
1669690800,93.0
1669694400,92.0
1669698000,93.0
1669701600,105.04
1669705200,136.27
1669708800,136.27
1669712400,111.5
1669716000,96.22
1669719600,96.22
1669723200,98.04
1669726800,98.04
1669730400,97.5
1669734000,98.04
1669737600,130.0
1669741200,144.76
1669744800,166.22
1669748400,185.0
1669752000,190.42
1669755600,167.03
1669759200,144.56
1669762800,136.42
1669766400,133.0
1669770000,130.0
1669773600,135.07
1669777200,134.63
1669780800,131.47
1669784400,135.07
1669788000,135.07
1669791600,146.44
1669795200,156.36
1669798800,151.14
1669802400,148.3
1669806000,148.3
1669809600,148.45
1669813200,148.45
1669816800,144.8
1669820400,148.3
1669824000,151.04
1669827600,175.0
1669831200,180.07
1669834800,185.83
1669838400,186.0
1669842000,186.0
1669845600,159.64
1669849200,131.47
1669852800,151.84
1669856400,132.22
1669860000,134.26
1669863600,134.26
1669867200,123.41
1669870800,131.01
1669874400,145.0
1669878000,152.42
1669881600,162.14
1669885200,161.0
1669888800,148.42
1669892400,148.0
1669896000,147.0
1669899600,153.38
1669903200,151.06
1669906800,151.84
1669910400,147.21
1669914000,161.44
1669917600,168.14
1669921200,172.32
1669924800,175.8
1669928400,164.34
1669932000,151.03
1669935600,134.26
1669939200,120.0
1669942800,115.2
1669946400,110.23
1669950000,110.0
1669953600,110.23
1669957200,115.98
1669960800,124.98
1669964400,139.51
1669968000,139.71
1669971600,121.0
1669975200,99.36
1669978800,91.79
1669982400,95.0
1669986000,115.98
1669989600,110.23
1669993200,99.6
1669996800,124.98
1670000400,153.38
1670004000,170.57
1670007600,170.57
1670011200,171.95
1670014800,161.71
1670018400,150.82
1670022000,140.11
1670025600,131.01
1670029200,115.0
1670032800,104.52
1670036400,103.48
1670040000,105.0
1670043600,105.0
1670047200,110.02
1670050800,119.1
1670054400,131.46
1670058000,131.01
1670061600,118.95
1670065200,106.89
1670068800,103.76
1670072400,110.0
1670076000,110.19
1670079600,110.19
1670083200,105.0
1670086800,119.1
1670090400,140.0
1670094000,144.81
1670097600,145.9
1670101200,143.01
1670104800,135.87
1670108400,131.25
1670112000,180.95
1670115600,175.0
